,Country,Job Title,Rural,Quantity,Percentage
101,BE,Data Officer,Rural,2,4%
102,BE,Data Officer,Urban,2,4%
103,BE,Data Warehouse Specialist,Rural,1,2%
104,BE,Data Warehouse Specialist,Urban,1,2%
105,BE,Medical Data Analyst,Rural,1,2%
106,BE,Database Coordinator,Urban,1,2%
107,BE,Data Systems Manager,Rural,1,2%
108,BE,Data Warehouse Developer,Rural,1,2%
109,BE,Automatic Data Processing Planner,Rural,1,2%
110,BE,Automatic Data Processing Planner,Urban,1,2%
111,BE,Data Processing Consultant,Rural,1,2%
112,BE,Data Scientist,Rural,1,2%
113,BE,Data Scientist,Urban,3,5%
114,BE,Electronic Data Processing Auditor (EDP Auditor),Rural,1,2%
115,BE,Data Entry Representative,Rural,1,2%
116,BE,Data Security Analyst,Rural,1,2%
117,BE,Data Security Analyst,Urban,1,2%
118,BE,Automatic Data Processing Planner (ADP Planner),Urban,1,2%
119,BE,Database Manager,Rural,1,2%
120,BE,Database Manager,Urban,2,4%
121,BE,Data Processing Manager,Rural,1,2%
122,BE,Data Processing Systems Project Planner,Urban,2,4%
123,BE,Database Architect,Urban,1,2%
124,BE,Data Communications Analyst,Rural,1,2%
125,BE,Oracle Database Administrator (Oracle DBA),Urban,1,2%
126,BE,Data Warehousing Manager,Urban,2,4%
127,BE,Data Manager,Rural,1,2%
128,BE,Data Architect,Rural,1,2%
129,BE,Data Architect,Urban,2,4%
130,BE,SQL Database Administrator,Urban,1,2%
131,BE,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,1,2%
132,BE,Director of Data Operations,Rural,1,2%
133,BE,Director of Data Operations,Urban,2,4%
134,BE,Data Miner,Urban,1,2%
135,BE,Database Consultant,Rural,1,2%
136,BE,Database Consultant,Urban,1,2%
137,BE,Data Processing Systems Analyst,Urban,2,4%
138,BE,Data Security Administrator,Rural,1,2%
139,BE,Data Security Administrator,Urban,2,4%
140,BE,Reference Data Expert,Urban,1,2%
141,BE,Data Entry Associate,Urban,1,2%
142,BE,Log Data Technician,Rural,1,2%
143,BG,Data Reduction Technician,Urban,1,2%
144,BG,Database Analyst,Urban,1,2%
145,BG,Data Coordinator,Urban,1,2%
146,BG,Database Security Administrator,Urban,1,2%
147,BG,Database Tester,Rural,1,2%
148,BG,Database Tester,Urban,1,2%
149,BG,Clinical Data Management Associate Director,Urban,1,2%
150,BG,Data Administrator,Urban,2,4%
151,BG,Data Storage Specialist,Urban,1,2%
152,BG,SCADA Technician (Supervisory Control and Data Acquisition Technician),Urban,1,2%
153,BG,Database Administration Manager,Urban,1,2%
154,BG,Data Management Associate,Urban,1,2%
155,BG,Data Modeling Specialist,Urban,1,2%
156,BG,Database Software Technician,Urban,2,4%
157,BG,Head of Information Systems and Data Processing,Urban,3,5%
158,BG,Data Warehousing Engineer,Urban,1,2%
159,BG,Data Warehousing Specialist,Urban,2,4%
160,BG,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,4,7%
161,BG,Data Recovery Planner,Urban,1,2%
162,BG,Data Abstractor,Urban,1,2%
163,BG,Database Modeler,Urban,2,4%
164,BG,Survey Data Technician,Urban,1,2%
165,BG,Data Base Design Analyst,Urban,1,2%
166,BG,Database Designer,Urban,2,4%
167,BG,Database Administration Associate,Urban,2,4%
168,BG,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,2%
169,BG,Database Design Analyst,Urban,1,2%
170,BG,Data Management Information Technology Specialist,Rural,1,2%
171,BG,Data Officer,Urban,1,2%
172,BG,Data Warehouse Architect,Urban,3,5%
173,BG,Data Warehouse Specialist,Urban,5,9%
174,BG,Data Control Assistant,Urban,1,2%
175,BG,Database Coordinator,Urban,1,2%
176,BG,Data Systems Manager,Urban,1,2%
177,BG,Data Warehouse Developer,Urban,2,4%
178,BG,Automatic Data Processing Planner,Urban,1,2%
179,BG,Data Operations Director,Urban,1,2%
180,BG,Electronic Data Processing Auditor (EDP Auditor),Urban,1,2%
181,BG,Internet Database Specialist,Urban,4,7%
182,BG,Data Security Analyst,Urban,1,2%
183,BG,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,1,2%
184,BG,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,3,5%
185,BG,Automatic Data Processing Planner (ADP Planner),Urban,1,2%
186,BG,Data Compiler,Urban,1,2%
187,BG,Data Processing Manager,Urban,3,5%
188,BG,Database Development Project Manager,Urban,1,2%
189,BG,Data Center Manager,Urban,1,2%
190,BG,Business Database Analyst,Urban,1,2%
191,BG,Database Architect,Urban,1,2%
192,BG,Data Center Operator,Urban,1,2%
193,BG,Data Processing Auditor,Rural,1,2%
194,BG,Data Processing Auditor,Urban,1,2%
195,BG,Data Communications Analyst,Urban,1,2%
196,BG,Data Architect,Urban,2,4%
197,BG,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,2,4%
198,BG,SQL Database Administrator,Urban,2,4%
199,BG,Director of Data Operations,Urban,1,2%
200,BG,Data Miner,Urban,2,4%
201,BG,Database Consultant,Urban,1,2%
202,BG,Database Security Expert,Urban,1,2%
203,BG,Data Processing Systems Analyst,Urban,2,4%
204,BG,Data Security Administrator,Urban,1,2%
205,BG,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Rural,1,2%
206,BG,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Urban,1,2%
207,BG,Clinical Data Manager,Urban,1,2%
208,BG,Computer or Data Processing Systems Consultant,Urban,1,2%
209,CY,Database Administrator (DBA),Urban,1,2%
210,CY,Data Management Associate,Urban,1,2%
211,CY,Data Modeling Specialist,Urban,1,2%
212,CY,Head of Information Systems and Data Processing,Urban,1,2%
213,CY,Data Warehousing Specialist,Urban,1,2%
214,CY,Clinical Trials Data Coordinator,Urban,1,2%
215,CY,Data Systems Manager,Urban,1,2%
216,CY,Data Communications Analyst,Urban,1,2%
217,CZ,Data Processing Equipment Repairer,Urban,1,2%
218,CZ,Data Keyer,Urban,1,2%
219,CZ,Marketing Database Analyst,Urban,1,2%
220,CZ,Data Coordinator,Urban,1,2%
221,CZ,Database Marketing Analyst,Urban,1,2%
222,CZ,Naval Tactical Data System--Combat Information Center Officer,Rural,1,2%
223,CZ,Database Security Administrator,Rural,1,2%
224,CZ,Database Security Administrator,Urban,2,4%
225,CZ,Database Administrator (DBA),Rural,1,2%
226,CZ,Database Tester,Urban,2,4%
227,CZ,Data Administrator,Urban,2,4%
228,CZ,Data Processing Auxiliary Equipment Operator,Urban,1,2%
229,CZ,Database Engineer,Rural,1,2%
230,CZ,Database Engineer,Urban,2,4%
231,CZ,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Urban,1,2%
232,CZ,Data Storage Specialist,Rural,2,4%
233,CZ,Data Storage Specialist,Urban,1,2%
234,CZ,SCADA Technician (Supervisory Control and Data Acquisition Technician),Urban,1,2%
235,CZ,Data Management Associate,Rural,1,2%
236,CZ,Data Modeling Specialist,Urban,2,4%
237,CZ,Maintenance Data Analyst,Urban,1,2%
238,CZ,Data Entry Specialist,Urban,1,2%
239,CZ,Database Software Technician,Rural,1,2%
240,CZ,Database Software Technician,Urban,2,4%
241,CZ,Head of Information Systems and Data Processing,Urban,3,5%
242,CZ,Clinical Data Coordinator,Urban,1,2%
243,CZ,Data Warehousing Engineer,Urban,1,2%
244,CZ,Data Warehousing Specialist,Urban,1,2%
245,CZ,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,2,4%
246,CZ,Database Development and Administration Project Manager,Rural,1,2%
247,CZ,Data Warehouse Analyst,Urban,2,4%
248,CZ,Database Management System Specialist (DBMS Specialist),Urban,1,2%
249,CZ,Data Collection Technician,Rural,1,2%
250,CZ,Flight Test Data Acquisition Technician,Rural,1,2%
251,CZ,Database Designer,Urban,1,2%
252,CZ,Data Processing Mechanic,Rural,1,2%
253,CZ,Database Administration Associate,Urban,1,2%
254,CZ,Data Entry Machine Operator,Rural,1,2%
255,CZ,Geographic Information Systems Data Manager (GIS Data Manager),Urban,1,2%
256,CZ,Database Specialist,Urban,1,2%
257,CZ,Health Data Analyst,Urban,1,2%
258,CZ,Databases Software Consultant,Rural,1,2%
259,CZ,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,1,2%
260,CZ,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,2,4%
261,CZ,Data Management Information Technology Specialist,Urban,1,2%
262,CZ,Data Officer,Urban,4,7%
263,CZ,Data Warehouse Architect,Rural,1,2%
264,CZ,Data Warehouse Architect,Urban,1,2%
265,CZ,Data Control Assistant,Urban,1,2%
266,CZ,Data Acquisition Technician,Rural,1,2%
267,CZ,Database Coordinator,Urban,2,4%
268,CZ,Data Systems Manager,Rural,1,2%
269,CZ,Data Warehouse Developer,Urban,1,2%
270,CZ,Automatic Data Processing Planner,Urban,2,4%
271,CZ,Data Communications Software Consultant,Urban,1,2%
272,CZ,Data Scientist,Rural,1,2%
273,CZ,Data Operations Director,Rural,1,2%
274,CZ,Data Operations Director,Urban,2,4%
275,CZ,Electronic Data Processing Auditor (EDP Auditor),Urban,1,2%
276,CZ,Internet Database Specialist,Urban,4,7%
277,CZ,Data Security Analyst,Urban,2,4%
278,CZ,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,1,2%
279,CZ,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,1,2%
280,CZ,Automatic Data Processing Planner (ADP Planner),Urban,1,2%
281,CZ,Data Processing Manager,Urban,1,2%
282,CZ,Micro Computer Data Processor,Urban,1,2%
283,CZ,Database Development Project Manager,Rural,1,2%
284,CZ,Data Processing Systems Project Planner,Rural,2,4%
285,CZ,Data Technician,Urban,1,2%
286,CZ,Database Architect,Rural,1,2%
287,CZ,Database Architect,Urban,1,2%
288,CZ,Data Center Operator,Urban,1,2%
289,CZ,Data Processing Auditor,Urban,1,2%
290,CZ,Data Communications Analyst,Urban,1,2%
291,CZ,Oracle Database Administrator (Oracle DBA),Rural,1,2%
292,CZ,Oracle Database Administrator (Oracle DBA),Urban,2,4%
293,CZ,GPS Field Data Collector (Global Positioning System Field Data Collector),Rural,1,2%
294,CZ,Data Warehousing Manager,Urban,2,4%
295,CZ,Data Sciences Director,Urban,1,2%
296,CZ,Data Manager,Urban,1,2%
297,CZ,Data Architect,Rural,1,2%
298,CZ,Data Architect,Urban,1,2%
299,CZ,Geographic Information Systems Database Administrator (GIS Database Administrator),Rural,1,2%
300,CZ,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,1,2%
301,CZ,SQL Database Administrator,Urban,1,2%
302,CZ,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Rural,2,4%
303,CZ,Director of Data Operations,Urban,3,5%
304,CZ,Data Miner,Rural,1,2%
305,CZ,Database Consultant,Urban,3,5%
306,CZ,Database Security Expert,Urban,2,4%
307,CZ,Data Processing Systems Analyst,Rural,1,2%
308,CZ,Data Processing Systems Analyst,Urban,2,4%
309,CZ,Databases Computer Consultant,Urban,2,4%
310,CZ,Data Processing Services Sales Representative,Urban,1,2%
311,CZ,Computer or Data Processing Systems Consultant,Rural,1,2%
312,CZ,Computer or Data Processing Systems Consultant,Urban,2,4%
313,DE,Data Reduction Technician,Rural,1,2%
314,DE,Data Reduction Technician,Urban,1,2%
315,DE,Data Processing Equipment Repairer,Urban,1,2%
316,DE,Database Analyst,Rural,2,4%
317,DE,Database Analyst,Urban,4,7%
318,DE,Data Keyer,Urban,2,4%
319,DE,Marketing Database Analyst,Rural,1,2%
320,DE,Marketing Database Analyst,Urban,2,4%
321,DE,Data Coordinator,Rural,4,7%
322,DE,Data Coordinator,Urban,7,12%
323,DE,Data Conversion Operator,Rural,2,4%
324,DE,Data Conversion Operator,Urban,1,2%
325,DE,Database Marketing Analyst,Rural,4,7%
326,DE,Database Marketing Analyst,Urban,4,7%
327,DE,Naval Tactical Data System--Combat Information Center Officer,Urban,1,2%
328,DE,Database Administration Project Manager,Rural,1,2%
329,DE,Database Administration Project Manager,Urban,2,4%
330,DE,Database Security Administrator,Rural,3,5%
331,DE,Database Security Administrator,Urban,2,4%
332,DE,Database Administrator (DBA),Rural,4,7%
333,DE,Flight Data Technician,Rural,2,4%
334,DE,Flight Data Technician,Urban,2,4%
335,DE,Database Tester,Rural,4,7%
336,DE,Database Tester,Urban,3,5%
337,DE,Clinical Data Management Associate Director,Rural,1,2%
338,DE,Clinical Data Management Associate Director,Urban,2,4%
339,DE,Electronic Data Interchange System Developer (EDI System Developer),Rural,8,14%
340,DE,Electronic Data Interchange System Developer (EDI System Developer),Urban,5,9%
341,DE,Data Administrator,Rural,6,11%
342,DE,Data Administrator,Urban,7,12%
343,DE,Data Processing Auxiliary Equipment Operator,Urban,2,4%
344,DE,Database Engineer,Rural,5,9%
345,DE,Database Engineer,Urban,8,14%
346,DE,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Urban,2,4%
347,DE,Data Storage Specialist,Rural,7,12%
348,DE,Data Storage Specialist,Urban,9,16%
349,DE,SCADA Technician (Supervisory Control and Data Acquisition Technician),Rural,1,2%
350,DE,Database Administration Manager,Rural,8,14%
351,DE,Database Administration Manager,Urban,6,11%
352,DE,Data Management Associate,Rural,2,4%
353,DE,Data Management Associate,Urban,3,5%
354,DE,Data Modeling Specialist,Rural,5,9%
355,DE,Data Modeling Specialist,Urban,7,12%
356,DE,Maintenance Data Analyst,Rural,1,2%
357,DE,Data Processing Control Clerk,Urban,1,2%
358,DE,Database Software Technician,Rural,3,5%
359,DE,Database Software Technician,Urban,8,14%
360,DE,Crime Data Specialist,Rural,1,2%
361,DE,Head of Information Systems and Data Processing,Rural,3,5%
362,DE,Head of Information Systems and Data Processing,Urban,9,16%
363,DE,Data Entry Supervisor,Urban,2,4%
364,DE,Clinical Data Coordinator,Rural,2,4%
365,DE,Clinical Data Coordinator,Urban,1,2%
366,DE,Data Warehousing Engineer,Rural,4,7%
367,DE,Data Warehousing Engineer,Urban,3,5%
368,DE,Data Warehousing Specialist,Rural,4,7%
369,DE,Data Warehousing Specialist,Urban,7,12%
370,DE,Geographic Information Systems Data Specialist (GIS Data Specialist),Rural,5,9%
371,DE,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,10,18%
372,DE,Database Development and Administration Project Manager,Rural,7,12%
373,DE,Database Development and Administration Project Manager,Urban,5,9%
374,DE,Data Warehouse Analyst,Rural,2,4%
375,DE,Data Warehouse Analyst,Urban,7,12%
376,DE,Field Artillery Automated Tactical Data System Specialist,Urban,1,2%
377,DE,Data Input Clerk,Rural,1,2%
378,DE,Data Input Clerk,Urban,1,2%
379,DE,Database Management System Specialist (DBMS Specialist),Rural,4,7%
380,DE,Database Management System Specialist (DBMS Specialist),Urban,11,19%
381,DE,Data Recovery Planner,Urban,1,2%
382,DE,Data Abstractor,Rural,1,2%
383,DE,Data Abstractor,Urban,1,2%
384,DE,Data Collection Technician,Urban,3,5%
385,DE,Database Modeler,Rural,2,4%
386,DE,Database Modeler,Urban,9,16%
387,DE,Survey Data Technician,Rural,1,2%
388,DE,Data Coder Operator,Rural,1,2%
389,DE,Data Base Design Analyst,Rural,4,7%
390,DE,Data Base Design Analyst,Urban,6,11%
391,DE,Flight Test Data Acquisition Technician,Rural,1,2%
392,DE,Flight Test Data Acquisition Technician,Urban,1,2%
393,DE,Clinical Data Associate,Urban,1,2%
394,DE,Database Designer,Rural,2,4%
395,DE,Database Designer,Urban,3,5%
396,DE,Data Management Manager,Rural,1,2%
397,DE,Database Administration Associate,Rural,3,5%
398,DE,Database Administration Associate,Urban,6,11%
399,DE,Data Entry Machine Operator,Urban,1,2%
400,DE,Geographic Information Systems Data Manager (GIS Data Manager),Rural,2,4%
401,DE,Geographic Information Systems Data Manager (GIS Data Manager),Urban,8,14%
402,DE,Database Design Analyst,Urban,4,7%
403,DE,LiDAR Data Analyst,Urban,1,2%
404,DE,Database Specialist,Rural,5,9%
405,DE,Database Specialist,Urban,6,11%
406,DE,Data Entry Technician,Rural,1,2%
407,DE,Data Entry Technician,Urban,2,4%
408,DE,Health Data Analyst,Urban,1,2%
409,DE,Clinical Data Management Manager (CDM Manager),Urban,1,2%
410,DE,Databases Software Consultant,Rural,4,7%
411,DE,Databases Software Consultant,Urban,2,4%
412,DE,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,6,11%
413,DE,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,3,5%
414,DE,Data Management Information Technology Specialist,Rural,3,5%
415,DE,Data Management Information Technology Specialist,Urban,8,14%
416,DE,Data Officer,Rural,5,9%
417,DE,Data Officer,Urban,13,23%
418,DE,Data Typist,Urban,2,4%
419,DE,Data Warehouse Architect,Rural,4,7%
420,DE,Data Warehouse Architect,Urban,8,14%
421,DE,Data Warehouse Specialist,Rural,2,4%
422,DE,Data Warehouse Specialist,Urban,10,18%
423,DE,Medical Data Analyst,Rural,1,2%
424,DE,Medical Data Analyst,Urban,1,2%
425,DE,Clinical Trials Data Coordinator,Urban,1,2%
426,DE,Database Coordinator,Rural,2,4%
427,DE,Database Coordinator,Urban,7,12%
428,DE,Data Systems Manager,Rural,5,9%
429,DE,Data Systems Manager,Urban,5,9%
430,DE,Data Warehouse Developer,Rural,7,12%
431,DE,Data Warehouse Developer,Urban,8,14%
432,DE,Automatic Data Processing Planner,Rural,4,7%
433,DE,Automatic Data Processing Planner,Urban,5,9%
434,DE,Data Processing Consultant,Rural,2,4%
435,DE,Data Processing Consultant,Urban,8,14%
436,DE,Data Communications Software Consultant,Rural,4,7%
437,DE,Data Communications Software Consultant,Urban,6,11%
438,DE,Data Scientist,Rural,6,11%
439,DE,Data Scientist,Urban,2,4%
440,DE,Data Operations Director,Rural,3,5%
441,DE,Data Processing Clerk,Rural,1,2%
442,DE,Electronic Data Processing Auditor (EDP Auditor),Rural,1,2%
443,DE,Electronic Data Processing Auditor (EDP Auditor),Urban,8,14%
444,DE,Internet Database Specialist,Rural,2,4%
445,DE,Internet Database Specialist,Urban,9,16%
446,DE,Data Entry Representative,Urban,2,4%
447,DE,Data Security Analyst,Rural,2,4%
448,DE,Data Security Analyst,Urban,7,12%
449,DE,Geographic Information Systems Data Administrator (GIS Data Administrator),Rural,4,7%
450,DE,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,6,11%
451,DE,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Rural,1,2%
452,DE,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,10,18%
453,DE,Automatic Data Processing Planner (ADP Planner),Rural,6,11%
454,DE,Automatic Data Processing Planner (ADP Planner),Urban,7,12%
455,DE,Database Manager,Rural,4,7%
456,DE,Database Manager,Urban,7,12%
457,DE,Database Programmer,Urban,1,2%
458,DE,Data Compiler,Rural,2,4%
459,DE,Data Processing Manager,Rural,6,11%
460,DE,Data Processing Manager,Urban,5,9%
461,DE,Micro Computer Data Processor,Rural,1,2%
462,DE,Micro Computer Data Processor,Urban,1,2%
463,DE,Database Development Project Manager,Urban,1,2%
464,DE,Data Specialist,Rural,1,2%
465,DE,Data Specialist,Urban,1,2%
466,DE,Data Processing Supervisor,Rural,1,2%
467,DE,Data Processing Systems Project Planner,Rural,6,11%
468,DE,Data Processing Systems Project Planner,Urban,4,7%
469,DE,Data Technician,Urban,1,2%
470,DE,Data Center Manager,Rural,1,2%
471,DE,Data Center Manager,Urban,1,2%
472,DE,Data Modeler,Rural,1,2%
473,DE,Business Database Analyst,Urban,1,2%
474,DE,Datastage Developer,Rural,1,2%
475,DE,Datastage Developer,Urban,2,4%
476,DE,Database Architect,Rural,4,7%
477,DE,Database Architect,Urban,5,9%
478,DE,Data Center Operator,Rural,1,2%
479,DE,Data Center Operator,Urban,4,7%
480,DE,SCADA Operator (Supervisory Control and Data Acquisition Operator),Rural,2,4%
481,DE,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,1,2%
482,DE,Data Processing Auditor,Rural,3,5%
483,DE,Data Processing Auditor,Urban,2,4%
484,DE,Data Communications Analyst,Rural,8,14%
485,DE,Data Communications Analyst,Urban,5,9%
486,DE,Oracle Database Administrator (Oracle DBA),Rural,9,16%
487,DE,Oracle Database Administrator (Oracle DBA),Urban,9,16%
488,DE,GPS Field Data Collector (Global Positioning System Field Data Collector),Rural,1,2%
489,DE,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,3,5%
490,DE,Data Warehousing Manager,Rural,3,5%
491,DE,Data Warehousing Manager,Urban,5,9%
492,DE,Data Sciences Director,Rural,1,2%
493,DE,Data Sciences Director,Urban,1,2%
494,DE,Data Manager,Rural,1,2%
495,DE,Clinical Data Abstractor,Rural,1,2%
496,DE,Clinical Data Abstractor,Urban,3,5%
497,DE,Data Architect,Rural,5,9%
498,DE,Data Architect,Urban,8,14%
499,DE,Data Control Clerk Supervisor,Rural,1,2%
500,DE,Geographic Information Systems Database Administrator (GIS Database Administrator),Rural,3,5%
501,DE,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,8,14%
502,DE,SQL Database Administrator,Urban,5,9%
503,DE,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Rural,1,2%
504,DE,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,6,11%
505,DE,Customer Data Technician,Rural,1,2%
506,DE,Customer Data Technician,Urban,1,2%
507,DE,Director of Data Operations,Rural,3,5%
508,DE,Director of Data Operations,Urban,4,7%
509,DE,Data Miner,Rural,7,12%
510,DE,Data Miner,Urban,1,2%
511,DE,Database Consultant,Rural,1,2%
512,DE,Database Consultant,Urban,12,21%
513,DE,Database Security Expert,Rural,4,7%
514,DE,Database Security Expert,Urban,3,5%
515,DE,Data Processing Systems Analyst,Rural,4,7%
516,DE,Data Processing Systems Analyst,Urban,4,7%
517,DE,Databases Computer Consultant,Rural,3,5%
518,DE,Databases Computer Consultant,Urban,5,9%
519,DE,Data Security Administrator,Rural,5,9%
520,DE,Data Security Administrator,Urban,7,12%
521,DE,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Urban,3,5%
522,DE,Data Processor,Rural,2,4%
523,DE,Data Processor,Urban,1,2%
524,DE,Clinical Data Analyst,Rural,1,2%
525,DE,Clinical Data Analyst,Urban,1,2%
526,DE,Voice and Data Technician,Rural,2,4%
